token: PROGRAM	type: start program token	pos: 0	line: 0
token: RunReadDigit	type: variable token	pos: 8	line: 0
token: (	type: open bracket token	pos: 20	line: 0
token: INPUT	type: variable token	pos: 21	line: 0
token: ,	type: split token	pos: 26	line: 0
token: OUTPUT	type: variable token	pos: 28	line: 0
token: )	type: close bracket token	pos: 34	line: 0
token: ;	type: end line token	pos: 35	line: 0
token: VAR	type: declaring variables block token	pos: 0	line: 1
token: D	type: variable token	pos: 2	line: 2
token: ,	type: split token	pos: 3	line: 2
token: Sum	type: variable token	pos: 5	line: 2
token: :	type: declaring variable token	pos: 8	line: 2
token: INTEGER	type: variables type token	pos: 10	line: 2
token: ;	type: end line token	pos: 17	line: 2
token: BEGIN	type: Begin token	pos: 0	line: 3
token: }	type: variable token	pos: 19	line: 3
token: Sum	type: variable token	pos: 2	line: 4
token: :=	type: equate token	pos: 6	line: 4
token: 0	type: variable token	pos: 9	line: 4
token: ;	type: end line token	pos: 10	line: 4
token: READ	type: read token	pos: 2	line: 5
token: (	type: open bracket token	pos: 6	line: 5
token: INPUT	type: variable token	pos: 7	line: 5
token: ,	type: split token	pos: 12	line: 5
token: D	type: variable token	pos: 14	line: 5
token: )	type: close bracket token	pos: 15	line: 5
token: ;	type: end line token	pos: 16	line: 5
token: WHILE	type: while token	pos: 2	line: 6
token: (	type: open bracket token	pos: 8	line: 6
token: D	type: variable token	pos: 9	line: 6
token: <>	type: not equal token	pos: 11	line: 6
token: -	type: minus token	pos: 14	line: 6
token: 1	type: variable token	pos: 15	line: 6
token: )	type: close bracket token	pos: 16	line: 6
token: DO	type: do token	pos: 2	line: 7
token: BEGIN	type: Begin token	pos: 4	line: 8
token: Sum	type: variable token	pos: 6	line: 9
token: :=	type: equate token	pos: 10	line: 9
token: Sum	type: variable token	pos: 13	line: 9
token: +	type: plus token	pos: 17	line: 9
token: D	type: variable token	pos: 19	line: 9
token: ;	type: end line token	pos: 20	line: 9
token: ReadDigit	type: variable token	pos: 6	line: 10
token: (	type: open bracket token	pos: 15	line: 10
token: INPUT	type: variable token	pos: 16	line: 10
token: ,	type: split token	pos: 21	line: 10
token: D	type: variable token	pos: 23	line: 10
token: )	type: close bracket token	pos: 24	line: 10
token: END	type: end block token	pos: 4	line: 11
token: ;	type: end line token	pos: 7	line: 11
token: WRITELN	type: writeln token	pos: 2	line: 12
token: (	type: open bracket token	pos: 9	line: 12
token: Sum	type: variable token	pos: 10	line: 12
token: )	type: close bracket token	pos: 13	line: 12
token: END	type: end block token	pos: 0	line: 13
token: .	type: end program token	pos: 3	line: 13
token: }	type: variable token	pos: 18	line: 13
